target_file,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio/com10_plc_3g-goodloss21_04-10-2025_080024/speaker_251004_080046.wav,3.5156615,4.068809,3.1701622,3.6598964,4.0019617,NISQAv2
audio/com10_plc_3g-goodloss23_04-10-2025_075840/speaker_251004_075903.wav,2.9892273,3.983867,2.603655,3.1176574,3.6070247,NISQAv2
audio/com10_plc_3g-goodloss25_04-10-2025_075656/speaker_251004_075716.wav,3.1809342,4.044966,2.7676268,3.2250347,3.7725594,NISQAv2
audio/com10_plc_3g-goodloss27_04-10-2025_075502/speaker_251004_075528.wav,3.394698,4.0294595,3.1969194,3.3238602,3.8093975,NISQAv2
audio/com10_plc_3g-goodloss30_04-10-2025_075304/speaker_251004_075336.wav,2.720569,3.8724935,2.4264438,2.844915,3.5011299,NISQAv2
audio/com10_plc_3g-goodloss33_04-10-2025_075113/speaker_251004_075140.wav,2.8505528,3.914264,2.4998765,2.9328647,3.582986,NISQAv2
audio/com10_plc_3g-goodloss35_04-10-2025_074922/speaker_251004_074951.wav,2.6851509,3.887622,2.622464,2.3027625,3.2480447,NISQAv2
audio/com10_plc_3g-goodloss37_04-10-2025_074737/speaker_251004_074800.wav,2.7060425,3.8917525,2.3248117,2.6561542,3.450957,NISQAv2
audio/com10_plc_3g-goodloss3_04-10-2025_081232/speaker_251004_081255.wav,4.779297,4.4416585,4.815458,4.423997,4.4998574,NISQAv2
audio/com10_plc_3g-goodloss40_04-10-2025_074541/speaker_251004_074605.wav,2.2146826,3.740294,2.151018,2.1233425,3.1023085,NISQAv2
audio/com10_plc_3g-goodloss6_04-10-2025_081040/speaker_251004_081109.wav,4.7960925,4.4990993,4.8437386,4.429295,4.5592294,NISQAv2
audio/com10_plc_3g-goodloss9_04-10-2025_080852/speaker_251004_080915.wav,4.5776196,4.349285,4.4712367,4.1706123,4.3697133,NISQAv2
audio/com10_plc_4g-goodloss0_04-10-2025_084330/speaker_251004_084357.wav,4.625615,4.3819575,4.324594,4.4338837,4.548344,NISQAv2
audio/com10_plc_4g-goodloss12_04-10-2025_083600/speaker_251004_083629.wav,4.227325,4.301088,3.6510627,4.216233,4.386827,NISQAv2
audio/com10_plc_4g-goodloss15_04-10-2025_083415/speaker_251004_083437.wav,3.7427182,4.218863,3.1557655,3.7865987,4.101922,NISQAv2
audio/com10_plc_4g-goodloss18_04-10-2025_083222/speaker_251004_083246.wav,4.210574,4.248826,4.006484,3.879125,4.170035,NISQAv2
audio/com10_plc_4g-goodloss21_04-10-2025_083035/speaker_251004_083059.wav,4.345349,4.2931046,4.598406,3.9243996,4.153563,NISQAv2
audio/com10_plc_4g-goodloss23_04-10-2025_082847/speaker_251004_082909.wav,2.942052,3.9683685,2.5775585,3.1098793,3.6177647,NISQAv2
